date,Revenue,Gross Profit,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Diluted EPS,EBITDA,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company
2012-03-31,92.034,59.891999999999996,48.915,24.545,287.555008,-12.36865,-12.36865,0,97.443,1673.73696,100.491,124.699,-222.04,AR
2012-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
2012-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
2012-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,AR
2013-03-31,181.526,90.238,73.159,-148.782,-47.997,27.067,27.067,0,113.787,1625.740032,110.207,-547.884992,423.495008,AR
2013-06-30,205.807008,92.719008,71.852,38.384,131.193,16.4459,16.4459,0,165.336,1756.932992,192.396992,-1178.407936,977.889024,AR
2013-09-30,269.588,130.694,110.879,26.401,117.794,14.59805,14.59805,0.05570700019598007,270.326016,1877.826944,331.936992,-1864.883968,1525.542016,AR
2013-12-31,656.014016,485.995008,96.046,-431.42,-225.176992,-287.260608,-287.260608,-1.0815000534057617,171.54,3598.66,202.77,-808.707968,611.841024,AR
2014-03-31,416.064992,215.138992,145.176,113.834,-94.759,59.29,59.29,0.22625499963760376,236.684,3533.037896,274.307008,-735.513024,456.299008,AR
2014-06-30,436.056992,200.377984,120.419,83.159,-44.495,46.705,46.705,0.1780260056257248,225.882,3523.227008,222.368,-1018.358016,801.329024,AR
2014-09-30,510.966016,227.085024,76.966,34.511,203.908992,50.742,50.742,0.1936350017786026,201.91,3751.421952,302.071008,-1070.601024,756.918976,AR
2014-12-31,585.126976,247.773984,141.55,14.105,608.969984,-17.08989,-17.08989,-0.0653190016746521,298.801984,5473.83008,199.375008,-1265.177984,1305.474048,AR
2015-03-31,654.972992,276.2910079999999,142.522,89.337,399.171008,47.826,47.826,0.18027499318122864,325.222016,6434.275072,351.393984,-739.235968,327.353984,AR
2015-06-30,574.820992,201.505984,62.634,2.811,-139.483008,-4.545,-4.545,-0.016408000141382217,240.088,6309.446016,243.714,-599.542016,313.623008,AR
2015-09-30,570.182976,199.28796799999998,76.717,15.796,544.734016,-0.719528625,-0.719528625,-0.002597999991849065,265.803008,7110.424064,246.046,-498.086016,136.164,AR
2015-12-31,629.952,267.728992,126.336,65.865,175.574,42.836788,42.836788,0.15408499538898468,288.513984,7286.678016,169.780992,-461.295008,287.576992,AR
2016-03-31,765.427008,333.93199999999996,138.698,75.414,10.65,32.419682,32.419682,0.11526300013065338,330.878016,7420.343936,340.168,-519.295008,195.524,AR
2016-06-30,727.936,294.39299199999994,109.142,47.031,-575.489984,25.905176,25.905176,0.08787800371646881,307.124,7600.898816,238.538,-519.064,268.907008,AR
2016-09-30,782.881024,318.817024,145.463008,87.251,268.196,38.919044,38.919044,0.12418299913406372,345.204,7980.282112,326.991008,-936.307968,599.577984,AR
2016-12-31,887.910016,405.150016,215.396992,145.936992,-452.804,51.534136,51.534136,-0.9785209894180298,437.84,7728.57792,335.559008,-420.471008,98.01,AR
2017-03-31,801.652992,291.113984,134.316,69.877,305.558016,40.24376,40.24376,0.12747099995613098,337.681984,8253.952128,393.939008,-688.473024,262.924,AR
2017-06-30,735.811968,227.68896000000004,84.365,19.406,39.965,-29.610302,-29.610302,-0.0976099967956543,286.196,8302.861824,253.647008,-634.734976,495.612,AR
2017-09-30,775.315968,239.06995200000003,96.384,33.358,-90,-30.35564,-30.35564,-0.09808400273323059,304.009984,8387.262144,1045.222016,-550.764992,-510.952992,AR
2017-12-31,919.843968,368.314944,185.108,129.025,529.614016,58.625688,58.625688,0.18543599545955658,399.504992,8876.135808,313.483008,-513.323008,204.587008,AR
2018-03-31,1122.813056,549.396032,291.742016,235.178,80.81,124.944744,124.944744,0.39480599761009216,520.676,8921.097856,541.548992,-563.569024,16.732,AR
2018-06-30,1014.118016,411.52704,134.366,74.281,-67.275,-9.15915,-9.15915,-0.028893999755382538,373.116,8802.91104,297.391008,-608.777984,338.841984,AR
