date,Revenue,Operating Income,Pretax Income,Income (Loss) from Cont Ops,Net Income,Net Income Avail to Common,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Company,target_revenue,target_income
2019-12-31,312.687008,89.06,67.851,33.642,45.732576,45.732576,1969.451968,198.915008,-264.927008,90.334,MTDR,235.155008,57.102
2020-03-31,235.155008,57.102,38.61,135.083008,23.112,23.112,2154.38,109.372,-248.22,130.515,MTDR,195.588,21.359
2011-03-31,6266.009088,420.136992,410.935008,238.442,238.118304,238.118304,8531.23712,522.9,-362.535008,-15.059,MUR,7384.573952,470.863008
2011-06-30,7384.573952,470.863008,466.711008,280.016,256.896256,256.896256,8829.165888,395.041984,-784.108992,500.008992,MUR,7194.393088,508.356992
2011-09-30,7194.393088,508.356992,526.646016,347.310016,347.267744,347.267744,8888.352128,958.804992,-198.25,-263.778,MUR,6794.033152,466.4
2011-12-31,6794.033152,466.4,460.72,-117.953,254.334448,254.334448,8778.397184,268.638016,-269.46,-769.494976,MUR,6953.86112,467.232
2012-03-31,6953.86112,467.232,447.385984,281.438016,269.575488,269.575488,9119.0832,991.006016,-525.511008,-51.259,MUR,7146.727936,487.264992
2012-06-30,7146.727936,487.264992,493.084,291.305984,294.58656,294.58656,9304.62816,356.112,-751.592,138.792,MUR,2655.355904,427.58
2012-09-30,2655.355904,427.58,411.007008,211.68,233.6344,233.6344,9616.758144,754.108992,-953.08,335.134016,MUR,1302.670976,406.723008
2012-12-31,1302.670976,406.723008,400.708992,123.935,254.0936,254.0936,8942.034816,955.054016,-1087.23904,263.042,MUR,1298.928,385.814016
2013-03-31,1298.928,385.814016,367.001984,182.683008,187.2252,187.2252,9138.494144,921.126976,-933.939968,196.17,MUR,1315.6,471.636
2013-06-30,1315.6,471.636,474.235008,259.888992,272.941664,272.941664,9134.171776,747.883008,-773.0,-112.63,MUR,2906.096128,427.951008
2013-09-30,2906.096128,427.951008,450.544992,252.115008,252.7104,252.7104,8918.045952,1009.505984,-1038.929984,70.18,MUR,1344.259968,299.543008
2013-12-31,1344.259968,299.543008,276.921984,180.487008,262.710096,262.710096,8595.730048,959.971008,-985.308992,-261.427008,MUR,1299.622016,372.235008
2014-03-31,1299.622016,372.235008,349.159008,169.286,179.021696,179.021696,8304.077888,667.121024,-1001.955008,235.126,MUR,1357.905024,342.015008
2014-06-30,1357.905024,342.015008,304.611168,142.668,142.679808,142.679808,8398.897024,723.804032,-910.129024,188.498,MUR,1393.702016,387.465984
2014-09-30,1393.702016,387.465984,360.158016,271.056992,213.139904,213.139904,8402.507776,894.334016,-1008.164992,137.716,MUR,1407.625984,273.066304
2014-12-31,1407.625984,273.066304,222.131152,441.961984,109.862,109.862,8573.433856,758.753024,801.971968,-1040.195968,MUR,749.150016,-164.405152
2015-03-31,749.150016,-164.405152,-205.451152,3.53,-164.67,-164.67,8204.477952,468.984992,-371.052992,-304.135008,MUR,718.620992,-39.032152
2015-06-30,718.620992,-39.032152,-87.567768,-88.986,-81.786,-81.786,7866.04608,160.780992,-621.121984,377.948992,MUR,665.588992,-131.450616
2015-09-30,665.588992,-131.450616,-147.256848,-1587.081984,-76.721,-76.721,6028.454016,461.896,-586.104,89.886,MUR,653.756992,-149.231008
2015-12-31,653.756992,-149.231008,-206.04416,-583.233984,-148.815808,-148.815808,5306.727936,76.703,-338.528,-335.676,MUR,429.094016,-131.804536
2016-03-31,429.094016,-131.804536,-139.968,-199.484992,-111.099296,-111.099296,5205.088128,45.624,-193.948,304.679008,MUR,411.216992,-210.42416
2016-06-30,411.216992,-210.42416,-155.537536,2.905,-43.170848,-43.170848,5171.693056,72.939,785.206016,-1036.708992,MUR,486.276,8.203
2016-09-30,486.276,8.203,-14.798231,-14.583,-19.7085,-19.7085,5085.588096,164.616992,-163.887008,484.120992,MUR,482.988,-3.52684625
2016-12-31,482.988,-3.52684625,5.0753075,-62.78,-13.3453,-13.3453,4916.67904,320.444992,-141.284,-45.802,MUR,546.112,82.518
2017-03-31,546.112,82.518,-17.1,57.495,-76.405,-76.405,4958.483072,305.512992,-246.984992,-58.604,MUR,504.420992,62.885
